paper_title,paper_authors,full_name,acronym,material_class,ionic_conductivity_S_per_cm,temperature,processing_method,material_description,source_location
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Polyethylene oxide / Lithium Bis(trifluoromethane)sulfonimide / Lithium Lanthanum Zirconate Oxide@Zeolitic Imidazole Framework-67 composite solid electrolyte,PLZ-20 (PEO/LiTFSI/LLZO@ZiF-67),Other,0.000109,RT,"LLZO@ZiF-67 inorganic filler was synthesized through an in-situ method: Polyvinyl pyrrolidone (PVP) was dissolved in 50 mL methanol solution (1 wt%), LLZO (Li₆.₄La₃Zr₁.₄Ta₀.₆O₁₂, 0.3 µm) was added. Cobaltous nitrate (Co(NO₃)₂·6H₂O) was added with continuous stirring for 3h. Then 50 mL methanol solution of 2-Methylimidazole (2-MIM) was quickly added (molar ratio of 2-MIM to Co(NO₃)₂·6H₂O was 4:1). Centrifuged (8000 rpm, 5 min) and washed three times with methanol. Filtered and dried (60 °C, 12h). The composite solid electrolyte membrane (PLZ-20) was fabricated by a solvent-casting method: PEO (Mw = 600,000) and LiTFSI were dissolved in anhydrous acetonitrile (ACN) with an ether-oxygen/Li⁺ molar ratio of 15. 20 wt% LLZO@ZiF-67 inorganic filler was added. Mixed suspension was magnetically stirred at 25 °C for 12h. The homogenized mixture solution was poured into a PTFE plate and dried at room temperature in a glove box, followed by drying at 50 °C under vacuum for 12h.","High performance composite solid electrolyte membrane, with LLZO@ZiF-67 inorganic filler and PEO as matrix. The LLZO@ZiF-67 inorganic filler is covered by in-situ synthesized ZiF-67 layer on surface of LLZO, showing a large specific surface area and a polyhedral structure.",Abstract
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Polyethylene oxide / Gallium-doped Lithium Lanthanum Zirconate Oxide,PEO:Ga-LLZO,Other,7.2e-05,30 °C,N/A (Cited Work),N/A (Cited Work),"Main text, page 1, paragraph 4 (citing Ref [21])"
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Poly(vinylidene fluoride-hexafluoropropylene) / Lithium Lanthanum Zirconate Oxide nanofibers,PVDF-HFP/LLZO,Other,0.00095,RT,N/A (Cited Work),N/A (Cited Work),"Main text, page 1, paragraph 4 (citing Ref [22])"
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Polyethylene oxide / Lithium Bis(trifluoromethane)sulfonimide / Lithium Lanthanum Zirconium Aluminum Oxide framework,LLZAO-PEO/LiTFSI,Other,0.000251,RT,N/A (Cited Work),N/A (Cited Work),"Main text, page 1, paragraph 4 (citing Ref [23])"
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Polyethylene oxide / Lithium Bis(trifluoromethane)sulfonimide / Lithium Lanthanum Zirconate Oxide@Zeolitic Imidazole Framework-67 composite solid electrolyte,PLZ-20 (PEO/LiTFSI/LLZO@ZiF-67),Other,0.000109,RT,"LLZO@ZiF-67 inorganic filler was synthesized through an in-situ method: Polyvinyl pyrrolidone (PVP) was dissolved in 50 mL methanol solution (1 wt%), LLZO (Li₆.₄La₃Zr₁.₄Ta₀.₆O₁₂, 0.3 µm) was added. Cobaltous nitrate (Co(NO₃)₂·6H₂O) was added with continuous stirring for 3h. Then 50 mL methanol solution of 2-Methylimidazole (2-MIM) was quickly added (molar ratio of 2-MIM to Co(NO₃)₂·6H₂O was 4:1). Centrifuged (8000 rpm, 5 min) and washed three times with methanol. Filtered and dried (60 °C, 12h). The composite solid electrolyte membrane (PLZ-20) was fabricated by a solvent-casting method: PEO (Mw = 600,000) and LiTFSI were dissolved in anhydrous acetonitrile (ACN) with an ether-oxygen/Li⁺ molar ratio of 15. 20 wt% LLZO@ZiF-67 inorganic filler was added. Mixed suspension was magnetically stirred at 25 °C for 12h. The homogenized mixture solution was poured into a PTFE plate and dried at room temperature in a glove box, followed by drying at 50 °C under vacuum for 12h.","Composite electrolyte synthesized by filling LLZO@ZiF-67 into PEO based polymer matrix. LLZO@ZiF-67 with polyhedral structure obtained by in-situ synthesis of ZiF-67 on the LLZO surface, which optimized the intrinsic defects of LLZO and increased the specific surface area.","Main text, page 1, paragraph 5"
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Polyethylene oxide / Lithium Bis(trifluoromethane)sulfonimide / Lithium Lanthanum Zirconate Oxide@Zeolitic Imidazole Framework-67 composite solid electrolyte,PLZ-20 (PEO/LiTFSI/LLZO@ZiF-67),Other,0.000109,25 °C,"LLZO@ZiF-67 inorganic filler was synthesized through an in-situ method: Polyvinyl pyrrolidone (PVP) was dissolved in 50 mL methanol solution (1 wt%), LLZO (Li₆.₄La₃Zr₁.₄Ta₀.₆O₁₂, 0.3 µm) was added. Cobaltous nitrate (Co(NO₃)₂·6H₂O) was added with continuous stirring for 3h. Then 50 mL methanol solution of 2-Methylimidazole (2-MIM) was quickly added (molar ratio of 2-MIM to Co(NO₃)₂·6H₂O was 4:1). Centrifuged (8000 rpm, 5 min) and washed three times with methanol. Filtered and dried (60 °C, 12h). The composite solid electrolyte membrane (PLZ-20) was fabricated by a solvent-casting method: PEO (Mw = 600,000) and LiTFSI were dissolved in anhydrous acetonitrile (ACN) with an ether-oxygen/Li⁺ molar ratio of 15. 20 wt% LLZO@ZiF-67 inorganic filler was added. Mixed suspension was magnetically stirred at 25 °C for 12h. The homogenized mixture solution was poured into a PTFE plate and dried at room temperature in a glove box, followed by drying at 50 °C under vacuum for 12h.","LLZO@ZiF-67 inorganic fillers uniformly distributed in the PEO-based polymer electrolyte, inhibits PEO crystallization, and forms a continuous Li-ion conducting pathway.","Main text, page 5, paragraph 1 (referencing Fig. 4A and Table S3)"
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Polyethylene oxide / Lithium Bis(trifluoromethane)sulfonimide / Lithium Lanthanum Zirconate Oxide,PL-20 (PEO/LiTFSI/LLZO),Other,1.67e-05,25 °C,"The composite solid electrolyte membrane (PL-20) was fabricated by a solvent-casting method: PEO (Mw = 600,000) and LiTFSI were dissolved in anhydrous acetonitrile (ACN) with an ether-oxygen/Li⁺ molar ratio of 15. 20 wt% LLZO inorganic filler was added. Mixed suspension was magnetically stirred at 25 °C for 12h. The homogenized mixture solution was poured into a PTFE plate and dried at room temperature in a glove box, followed by drying at 50 °C under vacuum for 12h.","PEO-based composite solid electrolyte membrane with Lithium Lanthanum Zirconate Oxide (LLZO) inorganic filler, uniformly distributed. LLZO (Li₆.₄La₃Zr₁.₄Ta₀.₆O₁₂) was purchased (0.3 µm).","Figure 4A, plot digitization"
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Polyethylene oxide / Lithium Bis(trifluoromethane)sulfonimide / Zeolitic Imidazole Framework-67,PZ-20 (PEO/LiTFSI/ZiF-67),Other,2.59e-05,25 °C,"ZiF-67 inorganic filler was prepared through the same procedure as LLZO@ZiF-67 synthesis without LLZO and PVP: Cobaltous nitrate (Co(NO₃)₂·6H₂O) was dissolved in methanol, stirred for 3h. Then 50 mL methanol solution of 2-Methylimidazole (2-MIM) was quickly added (molar ratio of 2-MIM to Co(NO₃)₂·6H₂O was 4:1). Centrifuged (8000 rpm, 5 min) and washed three times with methanol. Filtered and dried (60 °C, 12h). The composite solid electrolyte membrane (PZ-20) was fabricated by a solvent-casting method: PEO (Mw = 600,000) and LiTFSI were dissolved in anhydrous acetonitrile (ACN) with an ether-oxygen/Li⁺ molar ratio of 15. 20 wt% ZiF-67 inorganic filler was added. Mixed suspension was magnetically stirred at 25 °C for 12h. The homogenized mixture solution was poured into a PTFE plate and dried at room temperature in a glove box, followed by drying at 50 °C under vacuum for 12h.","PEO-based composite solid electrolyte membrane with Zeolitic Imidazole Framework-67 (ZiF-67) inorganic filler, uniformly distributed. ZiF-67 has a polyhedral structure.","Figure 4A, plot digitization"
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Polyethylene oxide / Lithium Bis(trifluoromethane)sulfonimide,PEO (PEO/LiTFSI),Polymer,1.28e-05,25 °C,"The pure polymer electrolyte membrane (PEO) was fabricated by a solvent-casting method: PEO (Mw = 600,000) and LiTFSI were dissolved in anhydrous acetonitrile (ACN) with an ether-oxygen/Li⁺ molar ratio of 15. The mixed solution was magnetically stirred at 25 °C for 12h. The homogenized mixture solution was poured into a PTFE plate and dried at room temperature in a glove box, followed by drying at 50 °C under vacuum for 12h.",Pure Polyethylene oxide (PEO) polymer electrolyte with lithium salt (LiTFSI).,"Figure 4A, plot digitization"
Preparation of high ionic conductivity composite solid electrolyte with in-situ synthesis of LLZO@ZiF-67,"Xiaoyu Yang, Yanxia Liu, Dezhao Li, Jiayu Dong, Fengtao Chai, Baoyu Yang, Muhao Liu, Shuang Wang",Polyethylene oxide / Lithium Bis(trifluoromethane)sulfonimide / Lithium Lanthanum Zirconate Oxide@Zeolitic Imidazole Framework-67 composite solid electrolyte,PLZ-20 (PEO/LiTFSI/LLZO@ZiF-67),Other,0.000109,RT,LLZO@ZiF-67 fillers were prepared by an in-situ growth method. The PEO based composite electrolyte (PLZ-20) was synthesized with a solution casting method. (Detailed procedures for LLZO@ZiF-67 synthesis and CSE membrane fabrication are described in the Experimental section.),"PEO based composite electrolyte with LLZO@ZiF-67 fillers. The fillers have a large specific surface area and a polyhedral structure, providing a continuous transport channel for lithium ion.","Conclusions, paragraph 1"
